sku,name,brand,category,image_url,size,price,stock
TEST-AF1-001,Nike Air Force 1 '07 Low White,Nike,sneakers,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=800,38,119.00,2
TEST-AF1-001,Nike Air Force 1 '07 Low White,Nike,sneakers,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=800,38.5,119.00,4
TEST-AF1-001,Nike Air Force 1 '07 Low White,Nike,sneakers,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=800,39,119.00,3
TEST-AF1-001,Nike Air Force 1 '07 Low White,Nike,sneakers,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=800,40,119.00,5
TEST-AF1-001,Nike Air Force 1 '07 Low White,Nike,sneakers,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=800,41,125.00,1
TEST-AF1-001,Nike Air Force 1 '07 Low White,Nike,sneakers,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=800,42,125.00,6
TEST-SAMBA-003,Adidas Samba OG Cloud White Core Black,Adidas,sneakers,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=800,40,109.00,6
TEST-SAMBA-003,Adidas Samba OG Cloud White Core Black,Adidas,sneakers,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=800,41,109.00,4
TEST-SAMBA-003,Adidas Samba OG Cloud White Core Black,Adidas,sneakers,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=800,42,109.00,2
TEST-HOODIE-005,Nike Sportswear Tech Fleece Windrunner Hoodie Black,Nike,clothing,https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=800,S,94.00,3
TEST-HOODIE-005,Nike Sportswear Tech Fleece Windrunner Hoodie Black,Nike,clothing,https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=800,M,94.00,5
TEST-HOODIE-005,Nike Sportswear Tech Fleece Windrunner Hoodie Black,Nike,clothing,https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=800,L,94.00,4
TEST-HOODIE-005,Nike Sportswear Tech Fleece Windrunner Hoodie Black,Nike,clothing,https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=800,XL,94.00,2
